text,label
"having coffee on the balcony this morning, the weather is perfect",neither
"just finished a great book about space exploration, highly recommend it",neither
"the team shipped the new release today and everyone is celebrating",neither
"my dog learned a new trick and i could not be prouder",neither
"watching the sunset over the river, what a calm evening",neither
"thanks everyone for the birthday wishes, you all are the best",neither
"trying out a new recipe tonight, fingers crossed it turns out well",neither
"the concert last night was absolutely incredible, what a show",neither
"spent the afternoon hiking and the views were stunning",neither
"so grateful for my friends who showed up to help me move",neither
"the new phone update fixed all the bugs i was complaining about",neither
"planting a small garden this weekend, excited to see it grow",neither
"caught up with an old friend over lunch, time flew by",neither
"the museum exhibit on ancient history was fascinating",neither
"finally fixed the leaky faucet, small wins matter",neither
"you are so dumb and you never listen to anyone",offensive
"this is the stupidest idea i have ever heard in my life",offensive
"shut up nobody asked for your useless opinion",offensive
"what an idiot, he ruined the whole project for everyone",offensive
"stop being such a clown, you embarrass yourself constantly",offensive
"your work is garbage and you should be ashamed of it",offensive
"get lost loser, no one wants you around here",offensive
"that referee is a complete moron and blind too",offensive
"you are pathetic and weak and everyone knows it",offensive
"quit whining like a baby and do your job for once",offensive
"this driver is a total jerk cutting everyone off",offensive
"you talk so much trash for someone so clueless",offensive
"i hate those people and they should all just go away",hate
"people like them do not belong in our neighborhood at all",hate
"we should keep that group out and never let them in",hate
"i cannot stand their kind, they ruin everything they touch",hate
"those outsiders are a problem and we are better without them",hate
"that whole community is worthless and should be pushed out",hate
"they are not welcome here and never will be, get them out",hate
"i despise that group and want nothing to do with any of them",hate
"such people are a disease and should be removed from society",hate
"we do not want their kind anywhere near us, send them back",hate
